Info,,,,LAZARUS,,,,,,,OFFICIAL,,,,,,,CHANGES,,,,,,,,,,,,,,,LEVEL - UP MOVES,,,,,,,,,,,,,,,,,,,,,,,,,,,EGG MOVES,,,,,,,,,,,,,,,,,,TM/HM MOVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOVE TUTOR MOVES,,,,,,,,,,,,,,,,,,,,,,,,
Name,#,Type,,HP,ATK,DEF,SPA,SPD,SPE,BST,HP,ATK,DEF,SPA,SPD,SPE,BST,HP,ATK,DEF,SPA,SPD,SPE,BST,Ability 1,Ability 2,Hidden Ability,Evolution,Held Item,Location,Egg Groups,,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Move 13,Move 14,Move 15,Move 16,Move 17,Move 18,Move 19,Move 20,Move 21,Move 22,Move 23,Move 23,Move 24,Move 25,Move 26,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Move 13,Move 14,Move 15,Move 16,Move 17,Move 18,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Move 13,Move 14,Move 15,Move 16,Move 17,Move 18,Move 19,Move 20,Move 21,Move 22,Move 23,Move 24,Move 25,Move 26,Move 27,Move 28,Move 29,Move 30,Move 31,Move 32,Move 33,Move 34,Move 35,Move 36,Move 37,Move 38,Move 39,Move 40,Move 41,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Move 13,Move 14,Move 15,Move 16,Move 17,Move 18,Move 19,Move 20,Move 21,Move 22,Move 23,Move 24,Move 25
Quilladin,11,Grass,,61,78,95,56,58,57,405,61,78,95,56,58,57,405,0,0,0,0,0,0,0,Overgrow,Long Reach,Spiked Shell,Lv. 16,,Chespin (evolve),Field,Field,"1, Growl","1, Tackle","5, Vine Whip","8, Rollout","11, Bite","15, Leech Seed","Evo, Needle Arm","18, Pin Missile","24, Mud Shot","27, Vital Throw","32, Seed Bomb","35, Dig","39, Bulk Up","42, Body Slam","45, Pain Split","48, Wood Hammer",,,,,,,,,,,,Synthesis,Belly Drum,Curse,Quick Guard,Spikes,Defense Curl,Rollout,Power-Up Punch,,,,,,,,,,,TM01 - Focus Punch,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM09 - Bullet Seed,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM18 - Rain Dance,TM19 - Giga Drain,TM22 - Solar Beam,TM23 - Iron Tail,TM28 - Dig,TM31 - Brick Break,TM32 - Double Team,TM33 - Reflect,TM36 - Sludge Bomb,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,HM01 - Cut,HM04 - Strength,HM05 - Flash,HM06 - Rock Smash,,,,,,,,,,,,,,,,Body Slam,Defense Curl,Endure,Rock Slide,Rollout,Sleep Talk,Snore,Swagger,Swift,Swords Dance,Thunder Punch,,,,,,,,,,,,,,
Chesnaught,12,Grass,Fighting,88,107,122,74,75,64,530,88,107,122,74,75,64,530,0,0,0,0,0,0,0,Overgrow,Long Reach,Spiked Shell,Lv. 36,,Quilladin (evolve),Field,Field,"1, Needle Arm","1, Hammer Arm","1, Feint","1, Belly Drum","1, Growl","1, Tackle","5, Vine Whip","8, Rollout","11, Bite","15, Leech Seed","18, Pin Missile","24, Mud Shot","27, Vital Throw","32, Seed Bomb","35, Dig","Evo, Spiky Shield","39, Bulk Up","42, Body Slam","45, Pain Split","48, Wood Hammer","52, Hammer Arm","58, Giga Impact",,,,,,Synthesis,Belly Drum,Curse,Quick Guard,Spikes,Defense Curl,Rollout,Power-Up Punch,,,,,,,,,,,TM01 - Focus Punch,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM09 - Bullet Seed,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM19 - Giga Drain,TM22 - Solar Beam,TM23 - Iron Tail,TM26 - Earthquake,TM28 - Dig,TM31 - Brick Break,TM32 - Double Team,TM33 - Reflect,TM36 - Sludge Bomb,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,HM01 - Cut,HM04 - Strength,HM05 - Flash,HM06 - Rock Smash,,,,,,,,,,,,,Body Slam,Defense Curl,Double-Edge,Endure,Mud-Slap,Rock Slide,Rollout,Sleep Talk,Snore,Swagger,Swift,Swords Dance,Thunder Punch,,,,,,,,,,,,
Fennekin,13,Fire,,40,45,40,62,60,60,307,40,45,40,62,60,60,307,0,0,0,0,0,0,0,Blaze,Magician,Tangling Hair,,,"Starter, 135 Unique Species (event) Sea of Asteri (wild)",Field,Field,"1, Scratch","1, Tail Whip","5, Ember","11, Howl","14, Flame Charge","17, Psybeam","20, Fire Spin","23, Nuzzle","25, Lucky Chant","27, Light Screen","31, Psyshock","35, Flamethrower","38, Will-O-Wisp","41, Psychic","43, Sunny Day","46, Magic Room","48, Fire Blast",,,,,,,,,,,Wish,Hypnosis,Heat Wave,Magic Coat,Psychic Terrain,,,,,,,,,,,,,,TM04 - Calm Mind,TM06 - Toxic,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM22 - Solar Beam,TM23 - Iron Tail,TM29 - Psychic,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Skill Swap,TM50 - Overheat,HM01 - Cut,,,,,,,,,,,,,,,,,,,,,,Dream Eater,Endure,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,,
Braixen,14,Fire,,59,59,58,90,70,73,409,59,59,58,90,70,73,409,0,0,0,0,0,0,0,Blaze,Magician,Tangling Hair,Lv. 16,,Fennekin (evolve),Field,Field,"1, Scratch","1, Tail Whip","5, Ember","11, Howl","14, Flame Charge","Evo, Magical Leaf","17, Psybeam","20, Fire Spin","23, Nuzzle","25, Lucky Chant","27, Light Screen","31, Psyshock","35, Flamethrower","38, Will-O-Wisp","41, Psychic","43, Sunny Day","46, Magic Room","48, Fire Blast",,,,,,,,,,Wish,Hypnosis,Heat Wave,Magic Coat,Psychic Terrain,,,,,,,,,,,,,,TM04 - Calm Mind,TM06 - Toxic,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM22 - Solar Beam,TM23 - Iron Tail,TM29 - Psychic,TM32 - Double Team,TM34 - Shock Wave,TM35 - Flamethrower,TM38 - Fire Blast,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Skill Swap,TM49 - Snatch,TM50 - Overheat,HM01 - Cut,,,,,,,,,,,,,,,,,,,,Dream Eater,Endure,Fire Punch,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,Thunder Punch,,,,,,,,,,,,,,,
Delphox,15,Fire,Psychic,85,69,72,114,100,94,534,75,69,72,114,100,104,534,10,0,0,0,0,-10,0,Blaze,Magician,Tangling Hair,Lv. 36,,Braixen (evolve),Field,Field,"1, Moongeist Beam","1, Magical Leaf","1, Scratch","1, Tail Whip","5, Ember","11, Howl","14, Flame Charge","17, Psybeam","20, Fire Spin","23, Nuzzle","25, Lucky Chant","27, Light Screen","31, Psyshock","35, Flamethrower","Evo, Mystical Fire","38, Will-O-Wisp","41, Psychic","43, Sunny Day","46, Magic Room","48, Fire Blast","52, Moongeist Beam","55, Moonblast","58, Future Sight",,,,,Wish,Hypnosis,Heat Wave,Magic Coat,Psychic Terrain,,,,,,,,,,,,,,TM04 - Calm Mind,TM06 - Toxic,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM22 - Solar Beam,TM23 - Iron Tail,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM33 - Reflect,TM34 - Shock Wave,TM35 - Flamethrower,TM38 - Fire Blast,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Skill Swap,TM49 - Snatch,TM50 - Overheat,HM01 - Cut,,,,,,,,,,,,,,,,,Dream Eater,Endure,Fire Punch,Metronome,Mud-Slap,Psych Up,Sleep Talk,Snore,Swagger,Swift,Thunder Punch,,,,,,,,,,,,,,
Froakie,16,Water,,41,56,40,62,44,71,314,41,56,40,62,44,71,314,0,0,0,0,0,0,0,Torrent,Water Bubble,Protean,,,"Starter, 135 Unique Species (event) Sea of Asteri (wild)",Water 1,Water 1,"1, Pound","1, Growl","5, Bubble","8, Quick Attack","10, Lick","14, Water Pulse","18, Smokescreen","21, Round","25, Fling","29, Smack Down","33, Uproar","35, Substitute","38, Bounce","41, Double Team","44, Dark Pulse","48, Hydro Pump",,,,,,,,,,,,Bestow,Mind Reader,Toxic Spikes,Mud Sport,Camouflage,Water Sport,Power-Up Punch,,,,,,,,,,,,TM03 - Water Pulse,TM06 - Toxic,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM28 - Dig,TM32 - Double Team,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM49 - Snatch,HM01 - Cut,HM03 - Surf,HM04 - Strength,HM06 - Rock Smash,HM07 - Waterfall,HM08 - Dive,,,,,,,,,,,,,,,,,,,,Counter,Endure,Icy Wind,Mud-Slap,Rock Slide,Sleep Talk,Snore,Swagger,Swift,,,,,,,,,,,,,,,,
Frogadier,17,Water,,54,63,52,83,56,97,405,54,63,52,83,56,97,405,0,0,0,0,0,0,0,Torrent,Water Bubble,Protean,Lv. 16,,Froakie (evolve),Water 1,Water 1,"1, Pound","1, Growl","5, Bubble","8, Quick Attack","10, Lick","14, Water Pulse","Evo, Shadow Sneak","18, Smokescreen","21, Round","25, Fling","29, Smack Down","33, Uproar","35, Substitute","38, Bounce","41, Double Team","44, Dark Pulse","48, Hydro Pump",,,,,,,,,,,Bestow,Mind Reader,Toxic Spikes,Mud Sport,Camouflage,Water Sport,Power-Up Punch,,,,,,,,,,,,TM03 - Water Pulse,TM06 - Toxic,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM28 - Dig,TM32 - Double Team,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM49 - Snatch,HM01 - Cut,HM03 - Surf,HM04 - Strength,HM06 - Rock Smash,HM07 - Waterfall,HM08 - Dive,,,,,,,,,,,,,,,,,,,,Counter,Endure,Ice Punch,Icy Wind,Mud-Slap,Rock Slide,Sleep Talk,Snore,Swagger,Swift,Swords Dance,,,,,,,,,,,,,,
Greninja,18,Water,Dark,72,95,67,103,71,122,530,72,95,67,103,71,122,530,0,0,0,0,0,0,0,Torrent,Water Bubble,Protean,Lv. 36,,Frogadier (evolve),Water 1,Water 1,"1, Night Slash","1, Haze","1, Role Play","1, Mat Block","1, Shadow Sneak","1, Pound","1, Growl","5, Bubble","8, Quick Attack","10, Lick","14, Water Pulse","18, Smokescreen","21, Round","25, Fling","29, Smack Down","33, Uproar","35, Substitute","Evo, Water Shuriken","38, Bounce","41, Double Team","44, Dark Pulse","47, Extrasensory","50, Hydro Pump","53, Haze","55, Night Slash","58, Bouncy Bubble",,Bestow,Mind Reader,Toxic Spikes,Mud Sport,Camouflage,Water Sport,Power-Up Punch,,,,,,,,,,,,TM03 - Water Pulse,TM06 - Toxic,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM28 - Dig,TM31 - Brick Break,TM32 - Double Team,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM49 - Snatch,HM01 - Cut,HM03 - Surf,HM04 - Strength,HM06 - Rock Smash,HM07 - Waterfall,HM08 - Dive,,,,,,,,,,,,,,,,,,Counter,Endure,Ice Punch,Icy Wind,Mud-Slap,Rock Slide,Sleep Talk,Snore,Swagger,Swift,Swords Dance,,,,,,,,,,,,,,
Sprigatito,19,Grass,,40,61,54,45,45,65,310,40,61,54,45,45,65,310,0,0,0,0,0,0,0,Overgrow,Unnerve,Protean,,,"Starter, 170 Unique Species (event) Sea of Vulcai (wild)",Field,Grass,"1, Scratch","1, Tail Whip","1, Leafage","7, Bite","10, Hone Claws","13, Magical Leaf","15, Quick Attack","17, Seed Bomb","21, U-Turn","25, Worry Seed","28, Slash","32, Energy Ball","36, Play Rough",,,,,,,,,,,,,,,Ally Switch,Copycat,Leech Seed,Petal Blizzard,Sucker Punch,,,,,,,,,,,,,,TM09 - Bullet Seed,TM12 - Taunt,TM17 - Protect,TM19 - Giga Drain,TM22 - Solar Beam,TM42 - Facade,TM44 - Rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endure,Mud-Slap,Sleep Talk,Swift,,,,,,,,,,,,,,,,,,,,,
Floragato,20,Grass,,61,80,63,60,63,83,410,61,80,63,60,63,83,410,0,0,0,0,0,0,0,Overgrow,Unnerve,Protean,Lv. 16,,Sprigatito (evolve),Field,Grass,"1, Scratch","1, Tail Whip","1, Leafage","7, Bite","10, Hone Claws","13, Magical Leaf","15, Quick Attack","20, Seed Bomb","24, U-Turn","28, Worry Seed","33, Slash","38, Energy Ball","42, Play Rough","46, Leaf Storm",,,,,,,,,,,,,,Ally Switch,Copycat,Leech Seed,Petal Blizzard,Sucker Punch,,,,,,,,,,,,,,TM09 - Bullet Seed,TM12 - Taunt,TM17 - Protect,TM19 - Giga Drain,TM22 - Solar Beam,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endure,Mud-Slap,Sleep Talk,Swift,Thunder Punch,,,,,,,,,,,,,,,,,,,,
